OBJECTID,CSA2010,trav45_10,trav45_11,trav45_12,trav45_13,trav45_14,trav45_15,trav45_16,trav45_17,trav45_18,trav45_19,CSA2020,trav45_20,trav45_21,travl45_22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,19.4710006373486,22.2334342415069,21.5867480383609,22.6949180599239,27.2727,23.4345513810259,21.2131147540984,20.2506795530051,17.2019765287214,14.95970696,Allendale/Irvington/S. Hilton,18.86574074,20.01232476,20.8837970540098,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,15.7530027717893,16.808262535399,14.4763513513514,15.7023255813953,14.1174,16.1576522777683,17.3501577287066,19.0763370893508,17.1477609611483,15.82690271,Beechfield/Ten Hills/West Hills,12.83413849,14.26010755,11.9163621599675,47882527.7110596,37524.9505334171
3,Belair-Edison,21.2134009009009,20.291222866388,19.582708304923,20.1586627000992,21.2746,22.583278902678,26.3550795196365,33.0108047089179,31.5104570100697,29.28442574,Belair-Edison,28.98879592,28,19.1765278002918,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,20.5583250249252,20.1695241764593,20.5246913580247,20.8873848467757,19.3186,18.7251715420729,21.9799857040743,24.5477533553783,24.7669233887312,26.77815411,Brooklyn/Curtis Bay/Hawkins Point,32.74952522,25.55950638,27.4196767112353,176077742.748718,150987.703638771
5,Canton,10.1379598662207,11.8051217988757,13.2160392798691,11.4738805970149,15.221,15.7687488813317,15.6740894182634,13.9646594613141,14.5358090185676,14.09853249,Canton,14.13106515,12.59054112,13.4756504336224,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,20.5673758865248,22.1734062584058,22.5967894239849,21.7831233295151,21.3573,20.9727272727273,19.8796828001094,19.1530657256285,20.5726595458217,19.79185041,Cedonia/Frankford,21.83177249,21.7627364,21.6181585209592,71541340.3063965,39962.5498347166
7,Cherry Hill,19.0434401053093,25.5597014925373,25.7142857142857,26.9609631521343,29.7164,29.079754601227,24.1038318912237,23.8075657894736,24.5564516129032,20.1804758,Cherry Hill,16.2116041,22.20812183,16.2420382165605,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,15.8374576712686,16.0943643512451,18.4320266889074,21.1225596529284,21.9436,18.5528756957328,17.9402834008097,17.3685522053326,15.5356277266117,17.28310502,Chinquapin Park/Belvedere,28.06703911,26.1349988,25.3592135114696,21022590.1307373,21705.411630344
9,Claremont/Armistead,23.0659025787966,24.4378698224852,25.1440092165899,24.151255865305,24.4023,25.3109632629448,22.2847948511665,23.48623853211,23.1246766683911,23.73725397,Orchard Ridge/Armistead,20.3573226,18.17932547,16.9201520912548,61243774.4211426,40104.415980189
10,Clifton-Berea,26.525998492841,24.597364568082,26.6302225693089,22.5204200700117,22.5925,24.1747249083028,25.2499193808449,24.8622167789344,25.7171785352683,26.41443943,Clifton-Berea,27.039544,26.2694922,19.6467991169978,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,15.8063367746529,12.7171646977067,13.3013674302966,12.9674873144146,15.3846,16.3459841129744,17.9274237226936,18.4047856430707,19.8436904308044,17.53210497,Cross-Country/Cheswolde,15.47295886,13.39977852,13.7258967447647,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,22.0673635307782,21.1318482841662,25.4380272550292,28.489847715736,24.7842,26.1890427453341,26.9253731343284,28.0516431924882,24.9446902654867,26.34666667,Dickeyville/Franklintown,24.60914881,25.12506948,22.3270440251572,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,17.2574626865672,17.7163754571312,24.9582289055973,21.8398560503824,21.6046,22.8130360205832,21.2890625,19.7259565667011,20.4301075268817,19.66707768,Dorchester/Ashburton,21.75797503,23.31625877,23.0550823395798,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,11.3754646840149,12.0253164556962,11.6176005064894,12.351406204697,10.1787,10.6508875739645,11.4786542267458,11.4656571119524,11.8804292284108,15.59955996,Downtown/Seton Hill,12.84759646,15.69664903,16.0114840989399,20736554.4064941,21565.859394559
15,Edmondson Village,16.9098712446352,20.8693229311786,21.5105740181269,22.0801077078425,25.34,26.6843189173286,24.93321460374,27.4527452745274,30.9731846941849,32.56778309,Edmondson Village,39.14988814,40.79193127,38.0073800738007,23563061.0443115,21504.551357829
16,Fells Point,8.39219643457787,10.112174199934,11.4790286975717,14.2857142857143,15.5419,16.5496329396744,15.8260588425477,18.3844011142061,16.2700964630225,16.34170522,Fells Point,15.01881628,13.86452696,11.489873671546,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,27.06002034588,30.6777645659929,28.7931580614507,24.9205340114431,20.6532,21.4722141402386,23.1832971800434,24.2329693187727,29.678595851379,32.42352941,Forest Park/Walbrook,28.90825218,28.29345254,24.719387755102,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,22.7265197946,22.2473361317404,20.1747156749629,19.2084511233447,18.5002,17.6096729189273,20.3578716057134,21.6503403619458,23.9753415528157,24.55121436,Glen-Fallstaff,27.19731733,23.29075883,24.5643307378569,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,13.8012039348113,13.3370929085013,14.3207737837448,16.5772120840362,12.5492,14.3005488799881,16.4650022974422,14.9320591309541,15.294603524229,17.03289204,Greater Charles Village/Barclay,18.49640178,19.67777256,19.0422625743211,27051213.4559937,26454.2692113332
20,Greater Govans,21.7527386541471,23.9715008044128,24.3535496003761,23.338081671415,26.1237,25.9507829977629,26.1236652594984,27.1537891878548,29.2605288932419,28.11691671,Greater Govans,28.62513426,23.04792676,18.966930855425,22698495.7178955,22982.125714974
21,Greater Mondawmin,21.7428087986464,18.0333119795003,17.8925247673371,21.2053571428571,21.3664,28.5270354257303,27.7893484082118,27.712654042681,28.538877812589,29.24177396,Greater Mondawmin,21.24964818,23.28244275,24.7357293868922,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,13.1293990254467,13.094267861994,12.1621621621622,12.3198259450639,11.2002,13.2386363636364,14.112676056338,14.4238975817923,14.8203592814371,16.67163734,Greater Roland Park/Poplar Hill,16.2962963,13.05830208,15.8506516379007,56688145.1790161,39862.7497953117
23,Greater Rosemont,27.171381031614,31.150009410879,34.0701958503006,33.6304700162075,27.1319,25.0964541613081,28.2525287757237,26.176423672037,26.7095357590966,30.73923364,Greater Rosemont,34.6597248,29.56613757,29.4170403587444,42204384.5406494,32559.0762211492
24,Greenmount East,27.5491949910555,27.9933249895703,35.1727042965459,31.15971935617,29.1667,28.0739466895959,29.2340425531915,28.2466112811543,31.4248251748251,30.47337278,Oliver/Johnson Square,30.17492711,26.72,24.6023856858847,19072287.8240967,20797.4734578598
25,Hamilton,16.2871600253004,16.3566006846257,18.1985012998929,22.6594686745276,21.0732,21.8658465143527,25.0488942380021,23.1555221637866,23.6756756756756,25.26987242,Hamilton,24.78304406,22.37620416,22.0917822838847,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,11.059670781893,12.4621594349142,14.5731375747689,22.4866440019427,21.453,22.5269784172662,22.1937686726419,22.5490196078431,16.3549160671462,14.74680022,Harbor East/Little Italy,11.06382979,14.62167689,7.95698924731183,10215859.0836182,18552.4075815937
27,Harford/Echodale,15.0047596382675,16.0213143872114,16.9587815786293,18.4048352690211,21.383,22.4373021670319,24.1209736906811,22.5347056007659,22.6390220517737,21.00117786,Hamilton Hills,21.84853617,19.96689163,21.0010060362173,65360039.1698608,40019.1854001996
28,Highlandtown,15.2797105482883,16.6497975708502,18.3894513774429,17.9705476300046,20.0748,20.8193579300431,21.4113680154143,21.677559912854,25.6928034371643,25.45054065,Highlandtown,23.84978372,23.98515932,22.2149122807018,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,25.9468360385792,25.5234062573512,30.9929561463304,26.8194706994329,22.8003,24.7278816634105,22.0892545499875,19.2503470615455,16.6994106090373,28.850683,Howard Park/West Arlington,31.3242601,31.90751445,35.7096283416649,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,13.4181532004197,13.831899404368,12.791932059448,12.8739452825364,10.5546,11.6633115249119,11.3104885390137,12.1212121212121,14.2806183115338,14.65265616,Inner Harbor/Federal Hill,16.48901171,17.24137931,18.0424345671364,24995836.2615967,43415.0595478862
31,Lauraville,15.7426778242678,16.7593997639521,17.6061362825544,16.1387900355872,17.1162,18.1976947258121,17.9773226042429,21.085409252669,21.6649067229848,23.97433733,Greater Lauraville,23.61510791,25.34861509,24.7795224779522,49665744.2354736,34419.676527973
32,Loch Raven,21.8512680899842,23.3922724296005,22.4437558938435,20.9369817578773,18.9083,18.9815420866606,19.1129032258065,18.3382942927397,20.4053683922213,24.63334757,Loch Raven,23.01128544,19.96027805,14.808104101466,44147812.3265381,29314.3346718286
33,Madison/East End,31.3419527418636,32.8859060402685,29.0901502504174,29.1491154170177,33.9991,27.5011853959222,23.4278122232064,20.1191567369385,22.6532567049808,22.48863167,Madison/East End,18.67555979,21.59763314,25.5142017629775,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,13.9342501074345,12.6979166666667,12.9575707154742,13.1130614352091,13.3298,13.0565334437772,12.0339529386483,11.1480686695278,10.8631267188491,12.87589129,Hampden/Remington,12.36355536,12.89993193,15.1374509103891,62441489.2398071,43152.625699222
35,Midtown,16.1931439242364,16.5573981231521,17.4597180261833,16.273495647786,15.5985,16.5220331342274,18.0474649406688,19.7808159722222,20.9774280389314,22.49145697,Midtown,19.61632291,17.26584674,15.7343584305408,23823949.9294434,25020.0969698082
36,Midway/Coldstream,26.0915032679739,28.054932735426,26.0187224669604,27.6932440657334,28.3963,33.6856460961473,29.0334435869166,31.2876906704505,28.8863976083707,28.48126233,Midway/Coldstream,25.77575507,27.82118056,27.1599264705882,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,12.0576671035387,12.5778008298755,14.3722466960352,15.7596371882086,18.301,18.432,22.7413366336634,24.8098303101228,25.0781916406027,21.59323023,Morrell Park/Violetville,19.58899569,18.07866868,16.844262295082,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,12.8290569810063,12.3402824478816,14.0625,17.1798460461861,15.598,18.9854531891085,18.9894050529747,17.1116504854368,19.1853360488798,17.96223101,Mount Washington/Coldspring,15.37414966,16.4,17.5934803451582,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,13.1902237165395,11.4036248180976,11.703684000532,12.1267348941539,12.4668,13.7268550744814,14.8305084745763,15.2537400997359,15.4999292886437,15.31570582,North Baltimore/Guilford/Homeland,15.94575303,14.09793442,15.6284497713294,74923987.6937256,42904.2221443544
40,Northwood,22.5617519735167,21.8517534537726,21.4077467721783,20.2298850574713,22.3446,22.2860598729967,20.1288738876956,20.6344586728754,21.9191359734145,21.13529898,Northwood,22.20840243,19.27542314,14.4836078189934,52743271.7706299,38889.8945908863
