OBJECTID,CSA2010,CSA2020,workhome22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,6.14439324116743,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills,15.1421188630491,47882527.7110596,37524.9505334171
3,Belair-Edison,Belair-Edison,6.84083358501963,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,1.74509803921569,176077742.748718,150987.703638771
5,Canton,Canton,19.2639138240575,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,Cedonia/Frankford,4.76771550597054,71541340.3063965,39962.5498347166
7,Cherry Hill,Cherry Hill,2.78637770897833,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,13.7233579817312,21022590.1307373,21705.411630344
9,Claremont/Armistead,Orchard Ridge/Armistead,2.92644344845769,61243774.4211426,40104.415980189
10,Clifton-Berea,Clifton-Berea,11.6269996098322,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,Cross-Country/Cheswolde,17.766410912191,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,Dickeyville/Franklintown,13.9377537212449,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,Dorchester/Ashburton,7.03853598451522,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,Downtown/Seton Hill,20.977312390925,20736554.4064941,21565.859394559
15,Edmondson Village,Edmondson Village,4.51021846370684,23563061.0443115,21504.551357829
16,Fells Point,Fells Point,22.3934018051665,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,Forest Park/Walbrook,14.5597210113339,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,Glen-Fallstaff,8.73096446700508,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,Greater Charles Village/Barclay,16.4810092605019,27051213.4559937,26454.2692113332
20,Greater Govans,Greater Govans,10.12036354704,22698495.7178955,22982.125714974
21,Greater Mondawmin,Greater Mondawmin,5.26466380543634,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,26.1446409989594,56688145.1790161,39862.7497953117
23,Greater Rosemont,Greater Rosemont,4.51723399700278,42204384.5406494,32559.0762211492
24,Greenmount East,Oliver/Johnston Square,5.31764705882353,19072287.8240967,20797.4734578598
25,Hamilton,Hamilton,10.6342393896042,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,Harbor East/Little Italy,24.3594957299715,10215859.0836182,18552.4075815937
27,Harford/Echodale,Hamilton Hills,11.5953307392996,65360039.1698608,40019.1854001996
28,Highlandtown,Highlandtown,18.9477426235336,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,Howard Park/West Arlington,7.88788788788789,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,22.5779376498801,24995836.2615967,43415.0595478862
31,Lauraville,Greater Lauraville,15.7942401738815,49665744.2354736,34419.676527973
32,Loch Raven,Loch Raven,12.7855193219365,44147812.3265381,29314.3346718286
33,Madison/East End,Madison/East End,12.1342512908778,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,18.5913582639023,62441489.2398071,43152.625699222
35,Midtown,Midtown,21.1456046827637,23823949.9294434,25020.0969698082
36,Midway/Coldstream,Midway/Coldstream,13.9580862000791,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,Morrell Park/Violetville,6.58499234303216,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,Mount Washington/Coldspring,21.3127121840815,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,28.0086285195277,74923987.6937256,42904.2221443544
40,Northwood,Northwood,12.226425290462,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,Oldtown/Middle East,12.8737034777303,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,Greektown/Bayview,11.20819523953,89894372.2113037,47825.8629266244
43,Patterson Park North & East,Patterson Park North & East,17.814126394052,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,Penn North/Reservoir Hill,8.69662418958194,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop,3.5506241331484,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,Poppleton/The Terraces/Hollins Market,17.3085436033643,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,12.6059920859242,23672092.8682861,20987.1433066354
48,South Baltimore,South Baltimore,19.6280611305469,46353935.4255981,68440.02582664
49,Southeastern,Southeastern,1.07129663834503,111251478.472229,102291.480547698
50,Southern Park Heights,Southern Park Heights,7.86893087778043,27876227.5908203,24052.221372193
51,Southwest Baltimore,Southwest Baltimore,10.145820497022,37766068.8365479,28355.563581391
52,The Waverlies,The Waverlies,20.3353658536585,20383750.5437012,18733.826879757
53,Upton/Druid Heights,Upton/Druid Heights,3.41308937368051,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,Pigtown/Carroll Park,19.1935483870968,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,2.61754726127,45494092.9501953,42573.1244161851
