OBJECTID,CSA2010,pubtran11,pubtran12,pubtran13,pubtran14,pubtran15,pubtran16,pubtran17,pubtran18,pubtran19,CSA2020,pubtran20,pubtran21,pubtran22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,18.920282542886,19.947689625109,19.6159576229101,21.9986,20.86121119,18.90163934,19.8731501057082,20.5682520074119,21.17216117,Allendale/Irvington/S. Hilton,23.71238426,26.31335696,27.3271889400922,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,14.8758953856405,13.1756756756757,11.3488372093023,11.3572,13.39361884,10.96214511,10.4745278527217,11.0313621469808,9.880466031,Beechfield/Ten Hills/West Hills,10.90177134,12.70663214,9.38845822566753,47882527.7110596,37524.9505334171
3,Belair-Edison,16.1790481326682,16.3234692486022,17.55206119847,18.8751,18.68060091,23.90457644,29.2210933720367,28.56700232378,24.65423933,Belair-Edison,22.25216281,19.27559055,11.0691633947448,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,16.4130225390098,20.679012345679,21.8086106410979,19.693,21.50595883,21.2115797,21.3188095701225,19.7405755978921,22.75613887,Brooklyn/Curtis Bay/Hawkins Point,17.36653302,15.58251412,12.2352941176471,176077742.748718,150987.703638771
5,Canton,5.68394753279201,6.17839607201309,4.96268656716418,4.14278,4.492572042,3.245296047,3.19094184251158,3.8549955791335,3.843466108,Canton,3.808235067,2.961227098,2.65709156193896,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,16.3274455303506,17.2143531633617,17.7357770141275,17.884,17,17.59183301,16.8151742390824,15.3935912395655,14.8791674,Cedonia/Frankford,13.3172953,12.96715229,12.8737034777303,71541340.3063965,39962.5498347166
7,Cherry Hill,36.6044776119403,37.3214285714286,34.6953666545057,31.2287,28.99795501,25.99917594,26.1924342105263,32.5,29.77850697,Cherry Hill,25.63993174,30.41455161,21.6331269349845,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,9.1743119266055,10.5921601334445,16.1605206073753,15.5315,15.02782931,17.15587045,15.7737353600797,15.7052835676199,13.26484018,Chinquapin Park/Belvedere,23.03910615,22.48378573,18.5515441496303,21022590.1307373,21705.411630344
9,Claremont/Armistead,19.6153846153846,18.4043778801843,22.1363510902567,22.7535,23.57535435,19.81764548,17.5622542595019,11.6658044490429,11.71448897,Orchard Ridge/Armistead,10.94614997,8.472717302,8.46295808067493,61243774.4211426,40104.415980189
10,Clifton-Berea,36.7496339677892,38.4615384615385,34.1112407623493,32.7719,31.71057019,31.28023218,33.955909369259,33.9183260209247,34.9184311,Clifton-Berea,32.66832918,31.46741303,18.1818181818182,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,15.6706045865184,11.9872136387853,10.1672617928961,12.2057,12.1270962,9.803213576,8.2951146560319,9.75981700343118,10.44109436,Cross-Country/Cheswolde,5.637920234,3.743078627,2.89855072463768,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,23.4798314268513,25.8922777417262,25.5710659898477,19.2355,16.3756773,15.58208955,13.3802816901408,15.9845132743362,12.58666667,Dickeyville/Franklintown,11.11754488,11.450806,11.5922417681552,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,23.1816334823243,21.1361737677527,19.4556905083221,21.8463,25.97402597,22.70507813,25.3877973112719,26.7316829207301,22.00986436,Dorchester/Ashburton,20.30166436,21.3811421,20.5525250747844,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,18.2544970019987,18.2652738208294,16.3815598724268,16.3587,16.86390533,15.26717557,15.6030286641427,15.7383750638732,14.32343234,Downtown/Seton Hill,14.87389524,16.07142857,12.2862129144852,20736554.4064941,21565.859394559
15,Edmondson Village,33.1290052939537,29.4259818731118,22.9888926287445,32.4069,31.39158576,29.83081033,30.1230123012301,31.4552576077131,26.47527911,Edmondson Village,30.105465,29.62271199,25.369978858351,23563061.0443115,21504.551357829
16,Fells Point,8.29759155394259,9.03500473036897,8.93650793650794,7.60953,10.82030003,8.292919496,8.58594134032443,8.21543408360128,8.129543952,Fells Point,5.302771126,5.056913603,2.27201991907874,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,21.4922711058264,20.3674374406082,21.7418944691672,21.7099,19.08641257,22.45119306,23.4009360374414,21.7232733074994,19.69411765,Forest Park/Walbrook,19.86160943,19.32684723,15.8674803836094,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,19.4704552793026,22.8613812427889,23.6274363933938,23.739,21.26802046,22.10014127,20.1228623609496,18.9103632122625,18.05702218,Glen-Fallstaff,18.46099541,17.07362885,15.1438240270728,46995477.4781494,48549.0046179292
